,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
3564,dream-0831-triplet-3,0,"Which goal motivates the act/action 'hurry'?","Well, you know I had a good time tonight. I'm pleased to hear that. But I have to say goodbye right now. Why? It's not late. Can't you stay a little longer? No, I'm sorry, but I really must go. I don't know whether I can catch the last bus if I don't hurry now. When does the bus go? At ten o'clock. Oh dear! It's already a quarter past ten. Don't worry, Kate. Since you have missed the bus, it is unnecessary for you to hurry. I can drive you home. Thank you. You are so kind. But my mother will worry about me if I'm too late getting home. I must get home before 11:00. That's all right. Let's go now. But I hope to have a chance to see you again. Thank you, John. ",motivated by goal,gen,"You are so kind","drive you home","catch the last bus","When does the bus go",2
2776,dream-0130-triplet-1,0,"What property does 'party' have?","Hello, glad to see you. Come in, please. Thanks. It looks like the party is exciting and all are in high spirits. My brother, Tom is visiting me for the weekend. Where is he? He is sitting in the corner over there, and beside the yound woman. And who is the yound woman? Uh, the woman wearing a red coat. Oh, that's Ann, my piano teacher. Piano teacher! I never knew you were practicing the piano. ",has property,gen,"weekend","teacher","red coat","exciting",3
998,dream-0607-triplet-1,0,"What desire is caused by 'don't need to spend much time on other subjects'?","Hi, Lily. Where were you at lunchtime? I was looking for you in the dining hall. Oh, sorry, I missed you. My English class ran late again. That's been happening quite often recently. Maybe it's because the final exams are coming up. Yes. After class, there is always a group of students hanging around the professor asking questions. How about you? Are yon ready for the exams? I've been studying a lot recently, but my math problems are really giving me a big headache. Don't worry, Tom. There's still one month to go before the exam. You have enough time to work them out. Well, I don't need to spend much time on other subjects. I can pay more attention to my weak subjects. do well in final exam",causes desire,gen,"Lily","pay more attention to my weak subjects","one month to go before the exam","looking for you",1
233,daily-dialogue-1161-triplet-10,0,"What property does 'house' have?","Have you seen that house ? Yes , it looks interesting . You're right . I love it very much . It must be old . At least more than 100 years old . Let's enter it ! I can't open the door . It must be locked . Let me ask the old woman in that reception office . She can't answer you . She must be deaf . It must be a haunted house . Are you frightened ? Frightened ? You must be joking . ",has property,gen,"love it very much","looks interesting","old","ask the old woman",2
2830,dream-0144-triplet-12,0,"What desire is caused by 'buy some medicine'?","Hi! Nice to meet you, Nancy! Where were you yesterday? I didn't come because I was sick. You still look a little sick. You ought to go back to bed. I am going home now. Did you drive today? Oh, No, I don't have a car. I can take you home. Would you like a ride? Yes. Thanks a lot. Could you stop at the chemist's on the way? I need to buy some medicine. ",causes desire,gen,"stop at the chemist's","sick","like a ride","Thanks a lot",0
1263,daily-dialogue-0051-triplet-1,0,"Where is 'get off' located?","Are we supposed to get off right here ? I think so ; hurry up and get off . Where are we ? I don't know . You said this was the right stop . I think I was wrong . Did we get off the bus too early ? I don't know ; it kind of looks like we did . Why did you tell me to get off ? I'm sorry . I thought this was our stop . I really don't feel like walking . We could always wait for the next bus to come . They got off at the wrong bus station.",at location,gen,"get off the bus too early","hurry up","bus station","right stop",3
1503,daily-dialogue-0145-triplet-9,0,"What does 'wet' cause?","Be careful.The floor is slippery . Mom , there isn't any hot water Turn on the shower . It's getting cold . Ok . I'll check the heater . Dry yourself with the towel first . wet",causes,gen,"Dry yourself","getting cold","slippery","there isn't any hot water",2
2154,mutual-0039-triplet-2,0,"Which goal motivates the act/action 'going out to buy a dress'?","any plan for today , jane ? i 'm going out to buy a dress for my graduation party . but i ca n't find my phone now . i 'm sure i left it on the table , but it is n't there now . look , here it is on the sofa . you probably put it there when you went to turn on the tv . oh , i remember now . it was on the table earlier , but i moved it when we had dinner . ",motivated by goal,gen,"it is on the sofa","graduation party","moved it","i left it on the table",1
258,daily-dialogue-1166-triplet-7,0,"Which goal motivates the act/action 'studying'?","Have you taken the written test yet ? No , I haven't . You should study before you take it . I have been studying . Why don't you take the test ? Do you know if it costs any money to take it ? Since you already paid for your permit , you don't have to pay again . All right . Do you know if the test covers the whole book ? No , the test skips a lot of things in the book . Did you pass it the first time that you took it ? No , I didn't , because it was pretty hard . Well , I hope that I do well . didn't pass it the first time",motivated by goal,gen,"it was pretty hard","the test","do well","test",2
3113,dream-0348-triplet-2,0,"What does 'had the originals' cause?","When did you become interested in collecting stamps? Oh, when I was about ten years old. Ten years old? So you have loved it for 9 years. Yeah, it's really an exciting hobby. You know, the first postage stamps were issued in Britain in 1840. Really? I didn't know that. What's on the first postage stamps? Well, look, here's a picture of the first two stamps issued. Oh, they both bear a picture of Queen Victoria, don't they? Yes, I wish I had the originals, then I would be a wealthy man instead of a poor stamp collector. But I believe collecting stamps gives you much pleasure which not all wealthy men can enjoy. Yes, I do agree. ",causes,gen,"be a wealthy man","exciting hobby","gives you much pleasure","picture of the first two stamps issued",0
2343,mutual-1058-triplet-5,0,"What is 'water the flowers in the garden'?","hey martin , i just did some running in the park . what are you doing ? there was a windstorm last night , so it blew this mess everywhere , what 's up ? i just wanted to see if you 'd like to see the latest movie with me tonight ? why do you have to do this kind of work ? my father and i have a deal . i help around the house and he pays me . once i get these leaves into bags . i have to cut the grass . tomorrow , i will water the flowers in the garden . ",is a,gen,"windstorm","see the latest movie","water the flowers","i help around the house",3
683,dream-0267-triplet-11,0,"What desire is caused by 'I'm hungry now'?","Oh, let's just go in for a minute, I'm hungry. OK, but just a snack. We're eating supper at home tonight. Let's get some milk and bread. I don't really like milk. How about a soda? They say Coca-Cola makes you fat. Milk is healthier. Oh, if you want to be healthy, buy yoghurt. And put back those butter cookies you have in your hand. Alright! I'll get some juice. How about this bread? It looks fresh, but we'll be home soon. But I'm hungry now! I'll get the bread and eat it at the bus stop. Don't forget the juice. I'll get two bottles, one for you and one for me. Thanks, Now let's go. have bread and juice",causes desire,gen,"let's go","get the bread and eat it at the bus stop","go in for a minute","Alright",1
